,len_before_processing,len_after_processing
926,821,544
927,1700,1291
928,1843,1381
929,480,319
930,771,541
931,949,633
932,1897,1280
933,1484,1020
934,1826,1305
935,829,589
936,1262,908
937,1428,977
938,1411,1054
939,1725,1181
940,1867,1378
941,4806,3321
942,1666,1213
943,1453,1017
944,1221,857
945,1597,1089
946,1472,1090
947,1960,1369
948,2067,1385
949,836,575
950,478,346
951,1788,1283
952,292,232
953,985,706
954,1405,987
955,1748,1264
956,2184,1578
957,1912,1319
958,2169,1470
959,2040,1480
960,1817,1187
961,1656,1137
962,2173,1551
963,1518,1132
964,1259,809
965,1567,1135
966,1830,1267
967,616,400
968,500,368
969,489,380
970,540,390
971,782,557
972,381,307
973,1236,879
974,1773,1237
975,1134,824
976,455,295
977,1397,1013
978,1188,875
979,1408,977
980,1645,1131
981,1402,1033
982,1392,1001
983,1212,872
984,1409,972
985,707,544
986,1534,1143
987,1110,786
988,438,343
989,745,553
990,1405,982
991,1379,1008
992,1241,919
993,1807,1300
994,1491,1047
995,1747,1141
996,1493,962
997,1494,1041
998,1687,1126
999,1571,1002
1000,1687,1188
1001,1312,943
1002,1283,902
1003,1581,1118
1004,631,445
1005,1283,931
1006,1664,1121
1007,1080,798
1008,2200,1574
1009,1625,1168
1010,1865,1296
1011,1470,1030
1012,2493,1735
1013,2052,1497
1014,1562,1121
1015,1880,1273
1016,1388,942
1017,1421,1003
1018,1577,1107
1019,1390,1068
1020,1609,1165
1021,1767,1230
1022,1418,959
1023,498,353
1024,1280,811
1025,1562,1166
1026,1343,930
1027,919,704
1028,1285,921
1029,1701,1128
1030,1508,1044
1031,1480,1100
1032,1382,951
1033,906,639
1034,1127,753
1035,1444,1017
1036,945,689
1037,1235,852
1038,1436,992
1039,325,241
1040,1089,733
1041,1299,855
1042,413,318
1043,1459,1023
1044,733,507
1045,547,427
1046,1224,813
1047,1356,938
1048,1091,776
1049,1309,971
1050,1801,1244
1051,318,249
1052,1411,971
1053,1430,928
1054,240,173
1055,460,319
1056,1307,865
1057,1120,797
1058,1609,1160
1059,1435,963
1060,1374,961
1061,1072,723
1062,1481,1070
1063,1685,1289
1064,1448,1073
1065,1556,1143
1066,1574,1133
1067,1181,862
1068,686,473
1069,1361,968
1070,1453,993
1071,1756,1225
1072,567,416
1073,938,635
1074,1433,1002
1075,1532,1075
1076,324,259
1077,1372,999
1078,1942,1407
1079,1552,1021
1080,1697,1170
1081,1756,1206
1082,1748,1268
1083,1821,1363
1084,1323,894
1085,1628,1146
1086,1584,1103
1087,1135,761
1088,1658,1198
1089,1564,1127
1090,1487,1019
1091,1962,1315
1092,1102,753
1093,1954,1536
1094,1815,1205
1095,1645,1150
1096,1637,1150
1097,1688,1235
1098,1874,1253
1099,407,326
1100,1732,1203
1101,573,394
1102,466,370
1103,1572,1102
1104,366,285
1105,387,313
1106,1328,885
1107,2004,1310
1108,544,387
1109,1872,1246
1110,1547,994
1111,972,664
1112,697,501
1113,786,550
1114,543,396
1115,1711,1118
1116,1185,786
1117,673,481
1118,565,403
1119,1821,1282
1120,1650,1103
1121,1185,748
1122,1204,822
1123,1774,1306
1124,1542,1133
1125,1623,1089
1126,1277,914
1127,1397,949
1128,1774,1293
1129,1563,1094
1130,1740,1256
1131,1330,873
1132,1456,1016
1133,1460,979
1134,1547,1150
1135,1576,1065
1136,1573,1108
1137,407,263
1138,342,289
1139,1127,791
1140,3152,2283
1141,1976,1415
1142,1304,947
1143,970,830
1144,1887,1290
1145,1050,733
1146,1226,888
1147,1058,745
1148,1617,1177
1149,487,376
1150,686,493
1151,728,481
1152,334,292
1153,1058,724
1154,640,556
1155,544,459
1156,1936,1285
1157,356,267
1158,1300,903
1159,393,282
1160,1438,998
1161,538,374
1162,850,600
1163,722,476
1164,1334,898
1165,997,740
1166,854,601
1167,911,604
1168,503,349
1169,1587,1169
1170,1179,797
1171,1337,883
1172,644,484
1173,1504,1070
1174,1225,877
1175,1274,912
1176,1279,1001
1177,1481,1037
1178,1359,837
1179,1010,713
1180,699,550
1181,554,341
1182,1335,937
1183,600,456
1184,1600,1173
1185,1566,1129
1186,650,467
1187,1857,1337
1188,1517,1109
1189,1334,909
1190,729,533
1191,1618,1101
1192,598,413
1193,972,684
1194,1349,978
1195,1745,1273
1196,795,586
1197,1744,1250
1198,1061,719
1199,1710,1211
1200,1919,1432
1201,711,497
1202,2025,1354
1203,1370,875
1204,1446,985
1205,1901,1263
1206,1089,803
1207,1286,933
1208,2134,1390
1209,1452,1026
1210,1666,1200
1211,1479,1084
1212,1836,1118
1213,1245,827
1214,1691,996
1215,1639,1159
1216,1627,1090
1217,1850,1209
1218,1601,1094
1219,2399,1622
1220,4058,2896
1221,1881,1318
1222,1744,1219
1223,1592,1249
1224,986,690
1225,1726,1204
1226,1321,954
1227,1704,1148
1228,1362,907
1229,1921,1366
1230,1524,1080
1231,727,504
1232,1397,968
1233,1391,1004
1234,1053,725
1235,1509,1110
1236,1469,1093
1237,1476,1041
1238,1295,932
1239,449,353
1240,1590,1200
1241,1159,864
1242,822,582
1243,1139,824
1244,473,362
1245,1484,1091
1246,1319,924
1247,2612,1704
1248,2138,1662
1249,468,359
1250,1214,842
1251,1091,758
1252,1606,1099
1253,1446,1038
1254,1577,1035
1255,1496,1030
1256,1709,1199
1257,1438,969
1258,1430,956
1259,1879,1280
1260,1923,1401
1261,1709,1237
1262,757,514
1263,1988,1390
1264,1881,1365
1265,1975,1335
1266,1509,1119
1267,1300,913
1268,2075,1532
1269,1636,1196
1270,943,674
1271,1742,1264
1272,1249,898
1273,1803,1230
1274,1712,1054
1275,1560,1075
1276,1823,1221
1277,1498,1073
1278,862,620
1279,688,471
1280,1343,861
1281,1668,1106
1282,1282,891
1283,1518,1066
1284,610,441
1285,860,608
1286,873,576
1287,444,298
1288,620,455
1289,994,703
1290,642,487
1291,1674,1129
1292,1487,1072
1293,1288,945
1294,613,397
1295,760,521
1296,996,759
1297,644,434
1298,605,434
1299,1625,1192
1300,687,510
1301,1229,873
1302,502,390
1303,1114,843
1304,1559,975
1305,1819,1320
1306,1392,911
1307,1343,1035
1308,1655,1189
1309,1790,1331
1310,1621,1035
1311,1616,1116
1312,1344,934
1313,1035,748
1314,1775,1095
1315,1423,998
1316,1618,1103
1317,1504,1106
1318,1558,1032
1319,1622,1041
1320,1594,1053
1321,1635,1098
1322,1310,912
1323,592,421
1324,612,456
1325,1578,1098
1326,1534,1161
1327,1336,923
1328,1490,1080
1329,1336,894
1330,1483,1081
1331,440,328
1332,1504,1074
1333,1391,955
1334,562,387
1335,1493,1109
1336,1731,1112
1337,642,483
1338,1397,955
1339,1601,1172
1340,893,639
1341,1877,1271
1342,1863,1280
1343,1638,1193
1344,983,753
1345,1598,1063
1346,1545,1123
1347,3090,1999
1348,2385,1650
1349,845,634
1350,629,481
1351,1729,1165
1352,1696,1215
1353,1586,1129
1354,1586,1078
1355,1550,1053
1356,1670,1166
1357,1717,1245
1358,1511,1112
1359,1672,1174
1360,1367,937
1361,2109,1507
1362,1793,1265
1363,1759,1215
1364,1437,953
1365,1638,1109
1366,1515,1020
1367,1621,1094
1368,1514,1049
1369,1439,1022
1370,1434,1029
1371,1461,1048
1372,1639,1116
1373,610,428
1374,1605,1029
1375,1158,845
1376,1674,1238
1377,1773,1214
1378,1604,1150
1379,1310,994
1380,1577,1106
1381,1326,1014
1382,1358,940
1383,2894,1996
1384,1679,1185
1385,1886,1285
1386,2352,1661
1387,3411,2372
1388,1428,1017
1389,2629,1692
1390,2169,1459
1391,1488,1088
1392,3299,2276
1393,2644,1757
1394,1407,1020
1395,1586,1059
1396,1447,1119
1397,526,392
1398,1109,778
1399,404,315
1400,850,644
1401,592,421
1402,1200,832
1403,993,728
1404,1279,887
1405,719,483
1406,503,396
1407,532,416
1408,599,439
1409,1167,793
1410,1372,932
1411,1304,974
1412,1457,1032
1413,1170,848
1414,519,383
1415,1251,904
1416,1365,987
1417,1508,1166
1418,1092,720
1419,1438,990
1420,1256,931
1421,749,541
1422,1434,980
1423,1360,987
1424,448,305
1425,1434,1002
1426,433,325
1427,1886,1284
1428,1673,1147
1429,1386,865
1430,1416,960
1431,1263,858
1432,1530,1065
1433,1452,1033
1434,1562,1116
1435,1417,995
1436,1487,1082
1437,1739,1213
1438,1616,1109
1439,1583,1182
1440,1345,917
1441,2219,1532
1442,1519,1104
1443,1741,1259
1444,1820,1257
1445,1565,1060
1446,1960,1304
1447,1185,826
1448,1982,1400
1449,1347,836
1450,2052,1365
1451,1118,762
1452,1380,969
1453,814,588
1454,795,548
1455,750,525
1456,915,644
1457,774,558
1458,532,390
1459,914,677
1460,504,365
1461,593,429
1462,1811,1230
1463,527,411
1464,1605,1080
1465,1705,1241
1466,1691,1204
1467,1569,1038
1468,1364,952
1469,1580,1068
1470,1383,912
1471,1416,1005
1472,1816,1272
1473,1509,981
1474,1367,968
1475,1762,1269
1476,1352,704
1477,1632,1152
1478,1419,1006
1479,1528,1021
1480,2280,1587
1481,1987,1380
1482,1260,872
1483,1031,726
1484,1974,1450
1485,1995,1381
1486,1657,1143
1487,2375,1459
1488,2391,1658
1489,1383,950
1490,1518,1075
1491,1232,839
1492,1020,695
1493,1503,998
1494,1723,1185
1495,1368,888
1496,1414,975
1497,1638,1242
1498,790,562
1499,662,481
1500,1428,973
1501,1420,1034
1502,1723,1301
1503,1589,1105
1504,1621,1110
1505,1510,1017
1506,1636,1118
1507,1670,1213
1508,1420,1008
1509,1571,1110
1510,1423,1040
1511,1554,1048
1512,1331,963
1513,1042,742
1514,1584,1113
1515,1124,838
1516,1037,815
1517,915,663
1518,1815,1313
1519,1186,892
1520,1534,1092
1521,1511,1100
1522,1080,756
1523,1743,1190
1524,1579,1132
1525,844,628
1526,769,546
1527,1479,1106
1528,1277,859
1529,1324,942
1530,1542,1070
1531,1798,1268
1532,1109,786
1533,884,617
1534,1295,917
1535,2014,1473
1536,2018,1481
1537,1954,1302
1538,1775,1165
1539,1384,966
1540,1706,1163
1541,1595,1107
1542,1794,1395
1543,1562,1083
1544,1569,1124
1545,1653,1222
1546,1558,1066
1547,1724,1253
1548,1380,968
1549,1514,1063
1550,1514,1135
1551,1628,1096
1552,1670,1139
1553,1525,1070
1554,4153,2855
1555,3099,2252
1556,3264,2356
1557,3713,2510
1558,1354,953
1559,1107,780
1560,1797,1251
1561,1226,888
1562,1586,1055
1563,1329,875
1564,1287,839
1565,1166,784
1566,1356,931
1567,1344,871
1568,1112,821
1569,1765,1276
1570,1514,1018
1571,3136,2065
1572,1685,1243
1573,1590,1101
1574,1825,1263
1575,2082,1411
1576,1423,935
1577,1970,1338
1578,1616,1119
1579,1482,1058
1580,1364,921
1581,1399,919
1582,1568,1042
1583,1506,1052
1584,1491,924
1585,1568,1098
1586,1774,1211
1587,1297,738
1588,1659,1166
1589,1691,1083
1590,1464,891
1591,1878,1254
1592,1584,1067
1593,1369,979
1594,1549,1046
1595,873,628
1596,362,260
1597,1540,1039
1598,811,592
1599,1784,1293
1600,1230,856
1601,359,276
1602,1147,847
1603,1368,1005
1604,1509,1120
1605,1405,969
1606,1439,1021
1607,1447,996
1608,1502,1096
1609,520,393
1610,1053,788
1611,1365,1012
1612,934,664
1613,1212,798
1614,532,376
1615,1094,797
1616,1676,1177
1617,1116,835
1618,557,396
1619,922,649
1620,424,331
1621,1253,857
1622,1535,1128
1623,520,347
1624,1287,878
1625,1027,760
1626,1396,1008
1627,414,316
1628,1354,994
1629,503,384
1630,964,707
1631,1174,793
1632,386,281
1633,1553,1057
1634,1202,863
1635,1706,1189
1636,1574,1125
1637,1307,884
1638,1557,1127
1639,1210,843
1640,757,525
1641,1339,925
1642,620,513
1643,481,354
1644,721,514
1645,1286,943
1646,548,400
1647,1267,845
1648,1074,787
1649,1440,1006
1650,1405,1024
1651,1388,1003
1652,1516,1129
1653,908,662
1654,1370,995
1655,1586,1150
1656,1495,1075
1657,1292,839
1658,1438,1012
1659,1155,824
1660,1043,713
1661,1282,817
1662,734,544
1663,267,190
1664,789,563
1665,1411,1109
1666,893,626
1667,1209,847
1668,1704,1232
1669,1957,1319
1670,2064,1465
1671,1900,1423
1672,2119,1455
1673,2311,1630
1674,3854,2689
1675,876,648
1676,3840,2731
1677,2788,1921
1678,1850,1307
1679,2276,1617
1680,2461,1771
1681,2646,1885
1682,729,482
1683,1550,1105
1684,945,710
1685,1343,1009
1686,623,483
1687,576,422
1688,679,518
1689,1891,1227
1690,1579,1041
1691,2090,1471
1692,967,737
1693,612,463
1694,2430,1542
1695,1506,1017
1696,892,668
1697,1503,1019
1698,1864,1260
1699,498,344
1700,870,585
1701,1597,1146
1702,539,401
1703,342,273
1704,1348,911
1705,1229,880
1706,1323,976
1707,1381,999
1708,1396,979
1709,2109,1450
1710,1098,778
1711,2418,1686
1712,666,496
1713,1628,1124
1714,1169,918
1715,1414,990
1716,994,714
1717,1820,1313
1718,1696,1278
1719,1400,1013
1720,1362,995
1721,1800,1256
1722,1501,1098
1723,1351,938
1724,1525,1127
1725,668,466
1726,1364,873
1727,2002,1187
1728,3842,2672
1729,2010,1448
1730,3568,2427
1731,1823,1196
1732,1676,1119
1733,1942,1339
1734,2878,2067
1735,1602,1174
1736,1004,712
1737,1525,1129
1738,795,625
1739,1427,1025
1740,1456,1100
1741,1419,965
1742,1360,945
1743,1324,920
1744,1511,1005
1745,713,534
1746,496,379
1747,1343,911
1748,1446,1082
1749,1435,1059
1750,279,201
1751,1442,1036
1752,368,303
1753,946,688
1754,688,426
1755,1107,783
1756,2590,1796
1757,1858,1293
1758,775,589
1759,2248,1508
1760,1492,1009
1761,2562,1827
1762,2634,1932
1763,2723,1864
1764,2434,1724
1765,1634,1147
1766,1274,917
1767,1298,828
1768,1747,1217
1769,1858,1117
1770,1920,1350
1771,1611,1162
1772,1374,951
1773,2253,1650
1774,2537,1808
1775,1993,1470
1776,1480,1102
1777,2107,1545
1778,2684,1783
1779,1509,1071
