,len_before_processing,len_after_processing
694,28639,18520
695,6381,4355
696,4982,3361
697,10402,7290
698,4219,2863
699,21156,14116
700,22700,14437
701,26579,18102
702,8962,6266
703,6040,3968
704,33060,22165
705,33890,22146
706,25648,15781
707,29954,19456
708,29981,19560
709,4521,3137
710,21943,13785
711,4470,3083
712,7198,4697
713,6108,4128
714,20151,12996
715,7233,4551
716,8020,5420
717,21474,14335
718,5938,3785
719,15284,9220
720,5705,3976
721,4999,3260
722,35955,23642
723,24586,16009
724,5456,3427
725,5196,3609
726,24294,16285
727,3988,2938
728,22947,15137
729,4383,3055
730,11195,7437
731,10964,7558
732,12929,8797
733,6364,4329
734,20757,14136
735,5847,4000
736,9776,6758
737,23039,15345
738,4676,3092
739,22321,15026
740,3559,2431
741,17480,10866
742,31716,20559
743,38783,25654
744,16125,9859
745,40530,27452
746,31457,20867
747,40681,28455
748,33127,22387
749,39834,25498
750,37107,22740
751,23663,16455
752,32998,20987
753,22899,15650
754,29506,20224
755,28983,18330
756,26870,18049
757,16114,10455
758,28942,17878
759,24217,14442
760,33240,21970
761,43751,29283
762,41067,29138
763,24516,16424
764,25716,18733
765,32606,21013
766,42412,23599
767,38243,25124
768,36742,22320
769,23049,13955
770,24412,16776
771,20398,13863
772,32757,21789
773,16897,10788
774,28873,18426
775,29072,18273
776,22001,13695
777,41556,25832
778,35704,25387
779,38738,26377
780,50327,32333
781,41647,28420
782,32118,21861
783,30000,19389
784,35099,21928
785,18750,12356
786,28940,17315
787,29792,19185
788,35903,23522
789,35137,24309
790,23280,15064
791,29736,20735
792,31846,20331
793,39280,26840
794,25786,17038
795,52291,35270
796,38473,26249
797,19309,13141
798,22100,15248
799,18417,12715
800,11287,7414
801,28981,19242
802,17824,11977
803,21972,15366
804,36345,24524
805,11308,7902
806,16408,11580
807,14807,10011
808,26464,18639
809,18693,12346
810,12166,8270
811,5045,3354
812,25678,17243
813,22282,15491
814,32106,21388
815,22711,15471
816,15148,9620
817,13713,9260
818,16913,11614
819,34950,24206
820,32106,21644
821,17518,12006
822,16845,11302
823,22958,15880
824,13019,8628
825,15397,10500
826,15949,10720
827,15181,10314
828,25013,16759
829,26176,17630
830,24335,16346
831,17542,12001
832,18897,12522
833,22966,15557
834,21981,14197
835,34869,24208
836,23054,15651
837,24971,17172
838,8457,5863
839,8092,5659
840,17473,11628
841,9134,6073
842,33660,23139
843,12408,8616
844,6369,4450
845,8916,6024
846,25024,16689
847,13736,9302
848,13443,9411
849,32646,22153
850,4344,3063
851,9692,6514
852,6579,4457
853,6531,4324
854,21513,13703
855,26346,17415
856,21528,14988
857,22445,14730
858,31566,22567
859,27753,18480
860,11807,8196
861,12904,8951
862,14376,9960
863,9274,6175
864,14087,9442
865,23006,13819
866,20109,12728
867,9664,6587
868,21854,13758
869,25147,16947
870,19330,13058
871,22645,14443
872,21449,14879
873,33659,22482
874,19654,13000
875,18819,11970
876,34463,22309
877,34397,21977
878,18881,12466
879,17155,11454
880,20587,14032
881,22832,15661
882,33162,21547
883,24826,17004
884,25797,17182
885,24238,15834
886,27082,18631
887,34179,24334
888,9061,5968
889,8538,5592
890,4968,3131
891,11844,8019
892,27045,17980
893,29164,19981
894,16395,10511
895,24120,14864
896,15630,10658
897,23387,15814
898,19624,13470
899,31956,21552
900,22832,15550
901,23031,16130
902,28641,18933
903,18536,12340
904,14724,10283
905,21529,14546
906,31759,20832
907,12099,8763
908,15373,10470
909,7216,4814
910,53594,38655
911,16388,11273
912,7908,4673
